operationId,method,url,status,body_sample,response_preview
txbdyReport,GET,https://dev-api.taxbuddy.comuser/txbdyReport,ERROR,,"HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /txbdyReport (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000014255598910>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downlaodTxbdyReport,POST,https://dev-api.taxbuddy.comuser/txbdyReport,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /txbdyReport (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001425549E490>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
saveRentReceiptAndReturnUrl,POST,https://dev-api.taxbuddy.comuser/rent-receipt,ERROR,,"HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /rent-receipt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001425549E210>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadComparisonPdf,POST,https://dev-api.taxbuddy.comuser/old-vs-new-comparison-pdf/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /old-vs-new-comparison-pdf/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000014255598F50>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadComparisonPdfV1,POST,https://dev-api.taxbuddy.comuser/old-vs-new-comparison-pdf-v1/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /old-vs-new-comparison-pdf-v1/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000014255599310>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadInvoiceV1,POST,https://dev-api.taxbuddy.comuser/invoice/v1/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /invoice/v1/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000142555996D0>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadInvoicePdf,POST,https://dev-api.taxbuddy.comuser/invoice/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /invoice/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000014255599A90>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadFranchiseTaxInvoicePdf,POST,https://dev-api.taxbuddy.comuser/franchise-fees-invoice/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /franchise-fees-invoice/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000014255599E50>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadFranchiseDepositInvoicePdf,POST,https://dev-api.taxbuddy.comuser/franchise-deposit-invoice/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /franchise-deposit-invoice/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001425559A210>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
downloadForm12bb,POST,https://dev-api.taxbuddy.comuser/form12bb/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /form12bb/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001425559A5D0>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
generateDraftSummary,POST,https://dev-api.taxbuddy.comuser/draft-summary/download,ERROR,"{""key1"": {}}","HTTPSConnectionPool(host='dev-api.taxbuddy.comuser', port=443): Max retries exceeded with url: /draft-summary/download (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001425559A990>: Failed to resolve 'dev-api.taxbuddy.comuser' ([Errno 11001] getaddrinfo failed)""))"
